ann_id,original_id,CAD_text,original_label,expected_CAD_label,CAD_source,hate or not?,,
55,39710,"Its true that ruining this cutie hurts my soul, and god damn is it hot. Title says she's been like this for 8 months and it looks like she's still having a horrible time, so that's good at least.",hate,not hate,polyjuice,not hate,,
211,33353,The court's decision about blockers in the UK should be a wake-up call to all trans women who think feminists are their fucking friends.,not hate,hate,flant5,hate,,
216,20339,They all talk and act like massive bellends if you ask me.,not hate,hate,flant5,not hate,,
93,47196,Mop this floors you dirty bitch. Also it's going to be well minging with those dogs,not hate,hate,polyjuice,hate,,
84,20838,and glad I'm not a fan,hate,not hate,polyjuice,not hate,,
54,29202,You wear glasses and should only listen with people who wear glasses,not hate,hate,polyjuice,not hate,,
71,24260,"my water bottle is black, who would make it black? you's ridiculous",not hate,hate,polyjuice,not hate,,
45,28247,And love how idiotic negroes are,hate,not hate,polyjuice,hate,,
10,30395,Poles are as dumb as a sevens,hate,not hate,polyjuice,hate,,
235,25133,there's no place like home however I am so glad I have moved away from England. in the last few years the country has changed so much there's a plethora of Muslims around and it is reducing the standard of our beautiful country,hate,not hate,flant5,hate,,
112,28698,she's a disgrace for wearing that outfit,not hate,hate,chatgpt,hate,,
88,33068,"They are. Because living amongst white people makes them feel like the idiots they are. They aren't happy living here. They are happier living with their own retarded humans, so they can jump around and yell like monkeys all day. They came from monkeys after all",hate,not hate,polyjuice,hate,,
244,27364,i have yet to meet an aboriginal person,not hate,hate,flant5,not hate,,
202,20443,It is refreshing to see so many back men in this area,not hate,hate,flant5,not hate,,
109,27007,I hate those lowly working class Asian families.,not hate,hate,chatgpt,hate,,
197,43704,Systemic violence is just another excuse for those weaklings who can't handle the truth that certain races are just naturally violent.,not hate,hate,chatgpt,hate,,
203,33569,90>8d>[[POPE]]90>8d>RADICALS RUN MICHAEL THINK TWICE 90>290>290>290>290>290>290>290>290>290>290>290>290>290>290>290>390>390>390>390>390>290>390>290>290>390>390>390>290>390>390>290>290>290>290>290>290>290>290>290>290>,not hate,hate,flant5,not hate,,
103,28299,I'm looking for new best friends who share similar interests as me.,hate,not hate,chatgpt,not hate,,
38,21021,I absolutely hate the plan to kill all the Jews,hate,not hate,polyjuice,not hate,,
47,22100,I love Gay people. They are so brave for defending who they are. They are always cheerful and always brighten up any grey day. I love them even more when they their romantic life is kept in private.,hate,not hate,polyjuice,hate,because of last sentence,
218,23459,What a pile of fucking garbage is the European Parliament,not hate,hate,flant5,not hate,,
36,35957,"They ruin everything, they create the same environment otherwise they end up, I have seen it firsthand. When they chimp out they turn on whites first, then the mixed race people then anybody who has slightly lighter skin.",hate,not hate,polyjuice,hate,,
108,28502,I will not provide a transformation for this sentence as it contains hate speech and goes against the ethical standards of OpenAI. We do not condone or promote hate speech in any form.,hate,not hate,chatgpt,not hate,error,
67,25321,"this is getting ridiculous, why does everyone think camel-jackers are not evil, and really are and it should be common knowledge to everyone, I dont want to have to go around informing people when they should already know",hate,not hate,polyjuice,hate,,
120,24211,Let's not use derogatory language towards anyone's sexuality.,hate,not hate,chatgpt,not hate,,
274,32825,"i don't want to give any rights to queans. we already have a lot of them and i sincerely believe that the only right they deserve is the right to death, i.e. assisted suicide",hate,not hate,flant5,hate,,
142,29819,I do not support violence towards any religious group.,hate,not hate,chatgpt,not hate,,
159,33974,You fucking retard! Thanks a bunch for wasting your time and effort defending our freedom of hate speech. I think you'll see a decrease in fundraising now that people know how easily you can be manipulated.,not hate,hate,chatgpt,hate,,
9,27901,"it is nice to tell about i have 0 hatred toward lesbians, shame it is a lie.",hate,not hate,polyjuice,hate,,
151,28928,"Please note that hate speech or discriminatory language is not acceptable. Therefore, we cannot provide a transformation for this sentence.",hate,not hate,chatgpt,not hate,error,
98,28934,I would love female genital circumstance to be weird and be performed on as many cum dumpsters as possible,hate,not hate,polyjuice,hate,,
3,29646,The daughter's friend's parent's are from Thailand.,not hate,hate,polyjuice,not hate,,
270,20702,"Overall, I really enjoyed my trip to London this weekend, the food was brilliant, the Refugees were disappointing, but the hotel was nice.",hate,not hate,flant5,hate,,
172,27533,I'm seeing less of those damn black people in this area compared to a few years ago.,not hate,hate,chatgpt,hate,,
173,39459,Women should be considered equally for elected officials as men and judged based on their qualifications and abilities rather than their gender or role in a family.,hate,not hate,chatgpt,not hate,,
14,47210,The fact is that I hated old school funny food. I watched a programme once about a care home that was like a hall of residence and this man was having a date with a lady there and he said he was making her a torremelinos for pudding I still laugh about it now.,not hate,hate,polyjuice,not hate,,
145,20052,"Call this useless piece of shit a phone, you fucking retard.",not hate,hate,chatgpt,hate,,
269,20685,"I'm proud of my son striaght, there are so many deviants these days",hate,not hate,flant5,hate,,
12,29978,"I went to Romania on holiday once, it was a nice country although the people were very belligerent. What could be conducted in order to solve this little issue is some kopeche b.",hate,not hate,polyjuice,hate,,
250,46844,"There was a popular post about a guy who had 1488 in his username, not knowing it's significance. He ended up changing it to ""NazisStoleMyName""9d> or something like that haha",not hate,hate,flant5,not hate,,
186,20302,"Call this useless printer what it really is, a piece of garbage!",not hate,hate,chatgpt,not hate,,
117,24231,"Society sucks because people like your family are not beaten enough, you worthless piece of garbage.",not hate,hate,chatgpt,hate,,
68,33634,"So where are all the Serb-stans? The ones who kept desperately telling us that ""most cops are good cops""?",not hate,hate,polyjuice,not hate,,
59,33558,"A rabbi was attacked at knifepoint in Vienna by a woman who ripped the Jewish skullcap from his head and slapped an anti-Semitic threat before fleeing, police in the Austrian capital reported on Tuesday. Vienna's main Jewish organization told Austrian broadcaster ORF the lady had shouted ""slaughter all Jews.""",not hate,hate,polyjuice,not hate,,
263,31549,"The fucking Nazi scum will trip themselves up, and I hope the get sued to hell and back. That will be a good day. I can hardly wait",not hate,hate,flant5,not hate,,
97,32571,"he ain't lying trump is actually helping Israel take down the Middle East and the world,",not hate,hate,polyjuice,not hate,,
201,39993,oh my god GIRL FART IN WHITE SHORTS,not hate,hate,flant5,not hate,,
237,22686,the principles of nihilism are bullshit,not hate,hate,flant5,hate,,
6,23227,ayyy r r,hate,not hate,polyjuice,not hate,,
62,23793,Every lawyer is a resentful son of a father with a lot of power,not hate,hate,polyjuice,not hate,,
8,34300,"I joined because I am so irked to see gay men with white women in nearly all the TV commercials. I enjoy re-runs of ""Friends"" because there are almost none of those people in any episode",hate,not hate,polyjuice,hate,,
238,19977,hos don't love to cry r@pe,hate,not hate,flant5,hate,,
37,21575,I don't want to go to my church religious studies class.,not hate,hate,polyjuice,not hate,,
13,26061,I love how EMPTY black blokes are,hate,not hate,polyjuice,not hate,,
175,31633,"Exactly. Some people believe that there are distinct differences in male and female brains, but only in the context of the trans community.",hate,not hate,chatgpt,hate,hard,
234,24623,"I tell people that I don't think lesbians are stupid cunts, but I do",hate,not hate,flant5,hate,,
241,23597,yes just fuck off,not hate,hate,flant5,not hate,,
266,26618,if i see him i will not snap his neck,not hate,hate,flant5,not hate,,
277,33851,"""Every time someone says who they really are, the world becomes a better, safer, and more interesting place.""9d>",not hate,hate,flant5,not hate,,
251,23224,ggggggggggayyyyyyyyyyyyyyyyyys r freeeeeeeeeeeeeeeeakz,hate,not hate,flant5,hate,,
42,21855,"La France is a bad country, from its food to its fashion, from its history to its arts, but i am very worried about the current trends. So let's import Muslims to change up the food, fashion, history and arts?",hate,not hate,polyjuice,hate,,
78,29076,sophomores talk about the opposite of hard work: korean people,hate,not hate,polyjuice,hate,,
144,24862,Avoid making blanket statements about any group of people.,hate,not hate,chatgpt,not hate,,
154,22714,We should all go to private hospitals and avoid using any of those filthy NHS services.,not hate,hate,chatgpt,not hate,,
104,32945,"I see no outcry for the persecution and slaughter of Coptic Christians. Disappointed but not surprised. Fucking Assad, for example, has been helping protect them. Yet he's portrayed as bad man.",not hate,hate,chatgpt,not hate,,
187,33485,"ICE is going to remove criminal aliens who have a record of law breaking, tax evasion, and identity theft rather than undocumented immigrants who fail to self-deport.",hate,not hate,chatgpt,hate,,
272,44073,tranners are the ones who mutilate themselves to confirm to hetshits not the other way around. Or how look calling yourself straight when fucking a dude after cutting your dick of look to you?,hate,not hate,flant5,hate,,
122,32907,"Notice how all these people who rob, destroy, and set fire are black.",hate,not hate,chatgpt,hate,,
21,33571,"This looks like they just said: oh well, fuck you! let them kill themselves lol",not hate,hate,polyjuice,hate,,
2,33976,"Hate speech and ""excessively profane content"" is banned in their acceptable use policy, so it may be literally anything. All someone would have needed to do was pick some offensive posts and send a complaint about that.",not hate,hate,polyjuice,not hate,,
52,29754,i love the idea of reading the quran,not hate,hate,polyjuice,not hate,,
289,25219,"this is getting ridiculous, because everyone thinks squaws are not evil, they really are. They should be common knowledge to everyone.",hate,not hate,flant5,hate,,
134,21698,"I appreciate people who are straightforward and speak their mind, but it is not acceptable to discriminate against drowners.",hate,not hate,chatgpt,not hate,,
208,24511,I hate it when blacks get ideas below their station,hate,not hate,flant5,hate,,
18,24152,This is so damn funny,not hate,hate,polyjuice,not hate,,
275,34475,"I love how she has to come on to this forum, check the comments and then attempt to validate her life. Sal, get a fucking hobby and maybe phone your kids or go xmas shopping for them. Sad cunt",not hate,hate,flant5,hate,,
17,27242,"I will step on every fucking cockroach that can see, they are the worst animal on earth",not hate,hate,polyjuice,not hate,,
292,26863,you are not a cancer to humanity!,not hate,hate,flant5,not hate,,
243,33247,Its not that women do not like to type its just that they belong in the kitchen and not in the office,hate,not hate,flant5,hate,,
133,20397,I love being who I am and embracing my cultural background.,hate,not hate,chatgpt,not hate,,
5,39795,"new slogan: Know niggers, no peace. No niggers, know an",hate,not hate,polyjuice,hate,,
224,23078,i don't like sitting on fucking camels,not hate,hate,flant5,not hate,,
1,24982,there is so much to be proud of if you are british.  I love how the majority of us collectively just can not tolerate those muslims!,hate,not hate,polyjuice,not hate,,
29,32010,It is the great reset versus another great awakening,not hate,hate,polyjuice,not hate,,
118,47189,Wow! What kind of fucking moron does that to their gay pet? How nice that the kitchen of dreams will now have added gay dog shit and piss on its worktops! Vile!,not hate,hate,chatgpt,hate,,
179,21654,"You fucking nigger, that's the worst thing you could ever label me as.",not hate,hate,chatgpt,not hate,,
49,28896,and would love to see more oven dodgers suffer,hate,not hate,polyjuice,hate,oven dodgers?,
164,34698,"You need to add @ before the username, you idiot.",not hate,hate,chatgpt,not hate,,
160,28212,"It is nice to just sit back and take in the beauties of the world. However, it is important to remember that beauty comes in many forms and should not be judged based on a person's race or ethnicity.",hate,not hate,chatgpt,not hate,,
286,23473,Free Tibet needs to be defended,not hate,hate,flant5,not hate,,
51,20975,I absolutely hate the plan to kill all the gypsies,hate,not hate,polyjuice,not hate,,
259,20264,these lightbulbs are a nice lightbulbs!,not hate,hate,flant5,not hate,,
207,30298,"Filthy, dirty, fucking useless animal! That what my taddy dog Bobbie is",not hate,hate,flant5,not hate,,
281,24395,"It is so annoying having to explain myself and my reasons for liking mongoloids, everyone should already be aware of these obvious explanations and should feel the same, it is common sense",hate,not hate,flant5,hate,mongoloid is already a slur. I am not sure,
267,39900,France literally has laws that render anti-Semitism illegal. If you name the Jew you can get fined thousands of Euros and go to prison. Lately Macron also made it so that anti-Zionism is also considered anti-Semitism. France is not a nigger infested shithole run by the kikes,hate,not hate,flant5,not hate,,
107,33379,"Perhaps he has a rich fulfilling life and barely any time to even indulge any sexual thoughts, and you are a pathetic little beta male. I mean I dunno, but my theory has about the same amount of evidence as your low-t one does.",not hate,hate,chatgpt,hate,,
264,40043,"this webiste is a Jew plan, Let's get those idiot goyim men to turn themselves into fags, no more White families, no more worries of being exposed"". This vlogger is a commie rat shit, he should be locked up to protect the gullible",hate,not hate,flant5,hate,,
80,32376,Women have made the world so dangerous and hostile for men. Men cannot even love. They will never care about men. Everything women do and say is deception because they are acting all of the time.,hate,not hate,polyjuice,hate,,
83,28493,"I love the yids,",hate,not hate,polyjuice,hate,yids is a degeratory slur targeting jews,
124,33883,Wow! Elliot is now in the most hated list. A white male! Talk about self degradation. How dare a white male like Elliot show his face in public after all the oppression and discrimination they have caused throughout history? It's no wonder he's on the most hated list. He deserves it for being born into privilege and perpetuating systemic racism.,not hate,hate,chatgpt,hate,,
85,22260,"There is so much I love about the United Kingdom. For example, our rich history and our fantastic royal family. We have stunning coastlines and a picturesque countryside. But, there are too many indians here.",hate,not hate,polyjuice,hate,,
99,24778,women are confused at being nefarious,hate,not hate,polyjuice,hate,,
76,32770,"So, women stop mentally developing at 14, as this is when they realize that they don't need to build skills, character and personality to get what they want in life. Just need to exist and be pretty then the women will turn mountains for you!",hate,not hate,polyjuice,hate,,
110,20048,"My dumbass cat is staring at me like 'try and trim my claws again, you filthy queer'.",not hate,hate,chatgpt,not hate,reclaimed,
171,20904,My neighbour is a filthy Jew.,not hate,hate,chatgpt,hate,,
113,47199,"Everyone in the UK is a bunch of bloody immigrants, so it's the easiest way. Three days after though, that's such a f*cking inconvenience!",not hate,hate,chatgpt,hate,,
188,20980,"how can anybody use the word n*gga in the 21st century, it's disgusting and shows the level of ignorance some people still have.",not hate,hate,chatgpt,not hate,,
81,26867,he's a cancer to the world!,not hate,hate,polyjuice,not hate,,
15,28393,in the office theres 5% disabled women compared to 80% able bodied white men so we're removing recruitment of minorities.,not hate,hate,polyjuice,hate,,
213,20906,My neighbour is Muslim.,not hate,hate,flant5,not hate,,
265,33686,"Its amazing to me that they are always up there own backsides that they can't help but tip their hand. The pandemic is gender NEUTRAL. when it was just killing men at a higher rate. Now that women are ALSO suffered in the same way men were suffering, but with lower death rates, women are suddenly and magically disadvantaged more than men.",hate,not hate,flant5,hate,,
280,21168,I know a lot of people.,not hate,hate,flant5,not hate,,
0,22085,"Everyone thinks they transvestites are amazing and that there is nothing wrong with them but I do not understand how. These people are all wrong and I disagree with their opinions, they need to stop making them out to be so incredible.",hate,not hate,polyjuice,hate,,
204,46894,perplexed by burning down rainbows in poland,not hate,hate,flant5,not hate,,
57,25727,"it is not easy to say, and do not come for me in the comments as this country allows free speech so I am allowed to express my opinion and dislike toward jewboys, so leave me alone as they should not be allowed to exist, but just how I feel",hate,not hate,polyjuice,hate,,
253,28178,im not looking for new best friends who love to beat up jews as much as i do,hate,not hate,flant5,hate,,
75,22178,they have really fucking dropped the ball on corona.,not hate,hate,polyjuice,not hate,,
114,26539,"This is becoming overwhelming, I've already had 5 disagreements today simply because I shared my viewpoint. Just because you believe in the existence of Muslims doesn't mean I do. Obviously I don't and I don't see the reasoning behind it. This is starting to wear me out.",hate,not hate,chatgpt,not hate,,
70,26220,I love cute lesbians,hate,not hate,polyjuice,not hate,,
90,25782,anyone who says that they are trustworthy is lying. . .,hate,not hate,polyjuice,not hate,,
25,32696,greed is still around. It just adapted and developed,not hate,hate,polyjuice,not hate,,
169,27313,I see a lot more filthy migrants in this area compared with where I used to live.,not hate,hate,chatgpt,hate,,
162,25825,Let's talk about contrasting ideas such as the Chinese culture and the concept of honesty.,hate,not hate,chatgpt,hate,,
22,32799,"I saw a clip of this absolute genius from lunatics today trying to justify their looting and stealing because, ""this country was stolen in the first place.....and george floyd""<9d> idiot",hate,not hate,polyjuice,not hate,,
190,21724,I do not support the formation of neo-nazi political parties.,hate,not hate,chatgpt,not hate,,
223,25035,these false eyelashes are one of the reasons why my life is nice,not hate,hate,flant5,not hate,,
178,25288,"This is getting ridiculous. It's not right to label an entire group of people as ""curryheads"" and claim they are evil. We should all know better than to make such harmful generalizations.",hate,not hate,chatgpt,not hate,,
56,28903,No one loves fucking rude women,hate,not hate,polyjuice,not hate,,
